Recommendation code;Recommendations ;Applicable MS or (sub)region;Applicable descriptors;URL Commission report;comments
Art13/2016/SI/Rec19;The Member State should develop efforts to prevent, identify and tackle pollution hot spots (e.g. from plastic pellets, lost fishing gear, single-use plastics, etc.).;SI;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SI/Rec20;The Member State should consider establishing measures that target other energy inputs if possible (e.g., heat, light).;SI;D11;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SI/Rec21;"The Member State should establish a register for impulsive low-mid frequency noise; and ensure that data gaps are addressed for continuous low frequency sounds in line with TG Noise recommendations.";SI;D11;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SI/Rec22;The Member State should establish additional measures targeting specific bird species.;SI;D1, 4 – Birds;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SI/Rec23;The Member State should establish additional measures to directly address pressures on birds, such as by-catch.;SI;D1, 4 – Birds;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SI/Rec24;The Member State should establish additional measures (including MPAs in open sea areas to protect non-commercial fish species) to directly address pressures on fish such as by-catch.;SI;D1, 4 – Fish and cephalopods;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SI/Rec25;The Member State should specify the fish species and habitats covered by its measures.;SI;D1, 4 – Fish and cephalopods;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SI/Rec26;The Member State should provide better information on existing MPAs and the level of protection they provide for fish (commercial and non-commercial), in relation to where fish species occur within Member States' territorial waters, and how they are protected.;SI;D1, 4 – Fish and cephalopods;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SI/Rec27;The Member State should clearly indicate whether it developed measures for cephalopods.;SI;D1, 4 – Fish and cephalopods;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SI/Rec28;The Member State should establish additional measures, including spatial protection measures, to directly address relevant pressures on mammals such as by-catch. ;SI;D1, 4 – Mammals and reptiles;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SI/Rec29;The Member State should establish dedicated measures to tackle some pressures associated with water column habitats, such as NIS and marine litter. If these are to be addressed via measures reported for other descriptors, the expected effect that measures are to have on water column habitats should be explained.;SI;D1, 4 – Water column habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SI/Rec30;The Member State should clearly cover plankton populations in its measures.;SI;D1, 4 – Water column habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SI/Rec31;The Member State should provide more details on measures related to protected areas (and MPAs) such as their area of coverage or temporal ranges of restrictions. The Member State should provide timescales and estimates of how spatial restrictions of seabed damaging activities will allow for GES to be achieved.;SI;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/SI/Rec32;If seabed habitats are to be addressed via measures reported for other descriptors (e.g. D2, D5, D10), the expected effect that measures are to have on seabed habitats should be explained.;SI;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/UK/Rec01;In both regions, in general, the Member State should better address certain pressures and activities. These are specified in the descriptor specific recommendations below;UK;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/UK/Rec02;"IN the NEA, GES and targets definitions should be better addressed for NIS (D2), hydrographical changes (D7), contaminants in seafood (D9), underwater noise (D11), mammals (D1, 4), water column habitats (D1, 4) and seabed habitats (D1, 4, 6).
In Gibraltar, GES and targets definitions should be better addressed for commercial fish and shellfish (D3), eutrophication (D5), hydrographical changes (D7), contaminants (D8), underwater noise and energy (D11), fish and mammals (D1, 4), water column habitats (D1, 4) and seabed habitats (D1, 4, 6).";UK;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/UK/Rec03;In Gibraltar, the Member State should establish specific measures for water column habitats (D1, 4).;UK;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/UK/Rec04;"In the NEA, the Member State should estimate the alternative dates by when GES will be achieved (relevant to D3, D8 and D1, 4 – Fish).
In Gibraltar, the Member State should provide a timeline for the achievement of GES for contaminants (D8) and fish (D1, 4).";UK;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/UK/Rec05;In both regions, the Member State should establish new measures that complement those already in place to specifically target pressures on the marine environment which were not otherwise covered, especially when GES is not expected to be achieved by 2020 (for the NEA).;UK;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/UK/Rec06;In Gibraltar, the Member State should establish better links with existing EU policies as well as regional and international instruments for eutrophication (D5), hydrographical changes (D7), contaminants (D8), contaminant in seafood (D9), marine litter (D10) and underwater noise and energy (D11).;UK;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/UK/Rec07;In both regions, the Member State should provide more information about its measures and especially its spatial protection measures (representation of species and habitats within the MPAs, the size, number and location of MPAs, the conservation objectives of the MPAs, exact geographical coverage).;UK;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/UK/Rec08;In Gibraltar, the Member State should define the spatial scope of its measures in detail. Furthermore, the spatial scope of measures should be expanded to cover marine waters beyond coastal waters, where relevant pressures are present. The Member State should consider establishing additional measures beyond spatial protection efforts to address species and habitats. It is important that pressures are addressed across all marine waters.;UK;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/UK/Rec09;Especially in Gibraltar, the Member State should make better links between the groups of measures reported for pressure descriptors and their effects on the state descriptors. This would allow a comprehensive view of the impact of measures affecting all descriptors.;UK;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/UK/Rec10;In both regions, the Member State should quantify the pressures present in its waters and their expected level of reduction as a result of the established measures. This could be facilitated by further efforts to address knowledge gaps and define the methodology for such estimations at regional or EU level. Such quantification will also contribute to linking the measures with the achievement of GES.;UK;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/UK/Rec11;In Gibraltar, the Member State should consistently specify the spatial scope of the measures.;UK;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/UK/Rec12;In both regions, the Member State should clearly identify the timelines for implementation of all its existing but not yet implemented measures.;UK;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/UK/Rec13;In Gibraltar, the Member State should report data collection efforts under the MSFD Monitoring Programmes (Article 11) and not under the Programme of Measures (Article 13). However, when knowledge is too scarce to design effective measures, it is useful to indicate actions taken to address these gaps via research measures.;UK;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/UK/Rec14;The Member State should ensure better linkages between the PoM and Monitoring Programme (currently done for D2, D3, D10 and the biodiversity descriptors in Gibraltar), in order to ensure that the effects of the measures and hence their efficiency and effectiveness in meeting targets and GES are measured through the Monitoring Programme.;UK;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/UK/Rec15;In Gibraltar, the Member State should establish measures that cover tourism/recreational activities (including recreational vessels) and defence operations (reported by the Member State as relevant sources of pressure), as well as aquaculture and fisheries (reported by most of the neighbouring Member States).;;D2;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/UK/Rec16;In the NEA, the Member State should establish action plans for key high risk marine NIS by 2020 and early warning systems of NIS introductions.;;D2;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/UK/Rec17;In the NEA, the Member State should cover recreational fishing activities. ;;D3;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/UK/Rec18;In Gibraltar, the Member State should establish measures that cover illegal fishing.;;D3;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/UK/Rec19;In the NEA, the Member State should establish measures that consider nutrient inputs from aquaculture.;;D5;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/UK/Rec20;In Gibraltar, the Member State should provide further efforts to ensure the building of sewage treatment plants.;;D5;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/UK/Rec21;In both regions, the Member State should address cumulative impacts on habitats from multiple developments.;;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/UK/Rec22;In Gibraltar, the Member State should establish measures targeting desalination plants.;;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
